Text,Intent,prob,entitie1,entitie2
I have fever,symptom,0.881924135316,disease:fever, 
I have cold,symptom,0.8808788787,disease:cold, 
I'm suffering from fever,symptom,0.830988583973,disease:fever, 
I had paracetamol,symptom,0.924966012414,disease:paracetamol, 
I have diarrhea,symptom,0.924143972389,disease:diarrhea, 
I have tumor,symptom,0.68067612159,disease:tumor, 


i have a car,symptom,0.711616491699,disease:car, 
i have coffee,symptom,0.814125584931,disease:coffee, 
i've been going out,affirm,0.375726089712, , 
i want mexican food,restaurant_search,0.358256789417,cuisine:mexican, 
i bought a car,symptom,0.63625911501,disease:car, 
how are you,symptom,0.558300314171, , 
let's go,affirm,0.455486176753, , 
I will come,symptom,0.84719492971, , 
I have done that,symptom,0.480431981032, , 
I wil watch TV,symptom,0.401632009485,disease:TV, 
I have homework,symptom,0.603684235369,disease:homework, 
I have homework to do,symptom,0.484596087036, , 
I have a cycle,symptom,0.452546889255,disease:cycle, 


